MODE,FREQ,REDUCED,INTENSITY
1,524.476,1.11156,2.909635
2,486.204,1.125261,2.026049
3,153.046,2.93214,0.13672
4,119.233,3.717567,0.057934
5,93.744,4.165285,0.024955
6,0.004,6.203736,0
7,0.01,6.203733,0
8,0.013,6.203823,0
9,73.059,3.19698,0.041081
10,351.728,2.627038,0.083286
11,574.683,2.426651,0.085578
12,1019.893,1.445987,0.241013
13,1085.664,1.964172,0.09861
14,1183.063,1.581256,0.294943
15,1276.672,1.469806,0.440238
16,1352.657,2.271431,0.217025
17,1397.895,1.59242,0.081372
18,1451.389,1.288841,0.221286
19,1631.332,1.264032,0.023386
20,1637.546,1.279269,0.116929
21,1670.761,1.45988,0.707654
22,1715.132,1.753532,0.407416
23,1789.691,1.109026,0.010588
24,1804.815,1.148733,0.033612
25,3566.147,1.062947,0.179385
26,3576.972,1.067033,0.168489
27,3692.83,1.111619,0.078627
28,3700.363,1.111434,0.082715
29,4439.613,1.068078,0.544752
30,4440.354,1.067941,0.277799
