
Host: G5

Timers On : Sun Mar 12 00:00:01 2023
Timers Off: Sun Mar 12 00:00:06 2023

Wall Time:        4.56 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.095w      7 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.107w     43 calls
DFH: initialize()                   :      0.000u      0.000s      0.204w      7 calls
DFH: AO Construction                :      0.000u      0.000s      0.023w      7 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.004w      7 calls
HF: Form core H                     :      0.000u      0.000s      0.028w      6 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      6 calls
HF: Guess                           :      0.000u      0.000s      0.197w      6 calls
SAD Guess                           :      0.000u      0.000s      0.191w      4 calls
HF: Form G                          :      0.000u      0.000s      0.014w     60 calls
JK: D                               :      0.000u      0.000s      0.001w     73 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     73 calls
JK: JK                              :      0.000u      0.000s      0.025w     73 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.025w     73 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     73 calls
DFH: compute_J                      :      0.000u      0.000s      0.008w     73 calls
DFH: compute_K                      :      0.000u      0.000s      0.016w     73 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w     73 calls
HF: Form F                          :      0.000u      0.000s      0.001w     60 calls
HF: Form D                          :      0.000u      0.000s      0.000w     60 calls
HF: DIIS                            :      0.000u      0.000s      0.110w     56 calls
DIISManager::add_entry              :      0.000u      0.000s      0.041w     54 calls
DIISManager::extrapolate            :      0.000u      0.000s      0.007w     54 calls
bMatrix setup                       :      0.000u      0.000s      0.003w     54 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.002w     54 calls
New vector                          :      0.000u      0.000s      0.002w     54 calls
HF: Form C                          :      0.000u      0.000s      0.026w     56 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.138w      4 calls
Grad: S                             :      0.000u      0.000s      0.000w      4 calls
Grad: JK                            :      0.000u      0.000s      0.203w      4 calls
JKGrad: Amn                         :      0.000u      0.000s      0.058w      4 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      4 calls
JKGrad: AB                          :      0.000u      0.000s      0.024w      4 calls
JKGrad: UV                          :      0.000u      0.000s      0.001w      4 calls
JKGrad: ABx                         :      0.000u      0.000s      0.012w      4 calls
JKGrad: Amnx                        :      0.000u      0.000s      0.065w      4 calls
Grad: XC                            :      0.000u      0.000s      0.000w      4 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.000u      0.000s      0.348w      1 calls
Hess: T                             :      0.000u      0.000s      0.000w      1 calls
Hess: S                             :      0.000u      0.000s      0.000w      1 calls
Hess: JK                            :      0.000u      0.000s      0.187w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.095w      7 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.049w      7 calls
DFH: initialize()                   :      0.000u      0.000s      0.204w      7 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.025w     14 calls
| DFH: AO Construction              :      0.000u      0.000s      0.023w      7 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.004w      7 calls
HF: Form core H                     :      0.000u      0.000s      0.028w      6 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w      6 calls
HF: Guess                           :      0.000u      0.000s      0.197w      6 calls
| SAD Guess                         :      0.000u      0.000s      0.191w      4 calls
HF: Form G                          :      0.000u      0.000s      0.014w     60 calls
| JK: D                             :      0.000u      0.000s      0.001w     60 calls
| JK: USO2AO                        :      0.000u      0.000s      0.002w     60 calls
| JK: JK                            :      0.000u      0.000s      0.010w     60 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.010w     60 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     60 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.004w     60 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.005w     60 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w     60 calls
HF: Form F                          :      0.000u      0.000s      0.001w     60 calls
HF: Form D                          :      0.000u      0.000s      0.000w     60 calls
HF: DIIS                            :      0.000u      0.000s      0.110w     56 calls
| DIISManager::add_entry            :      0.000u      0.000s      0.041w     54 calls
| DIISManager::extrapolate          :      0.000u      0.000s      0.007w     54 calls
| | bMatrix setup                   :      0.000u      0.000s      0.003w     54 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.002w     54 calls
| | New vector                      :      0.000u      0.000s      0.002w     54 calls
