Distance,Electrostatics,Exchange,Induction,Dispersion,SAPT Total
2.500000000000000000e+00,-1.986354033622692938e+01,3.131393915225971725e+01,-8.036526482716379149e+00,-3.530593674100655388e+00,-1.167213407842467437e-01
3.000000000000000000e+00,-7.455606430632590431e+00,5.327981064739769401e+00,-1.556871082308308951e+00,-1.034925147680447743e+00,-4.719421595881578391e+00
3.500000000000000000e+00,-3.681992425707064864e+00,8.745286398677357687e-01,-3.622211907402337339e-01,-3.507130317498734495e-01,-3.520398008329435946e+00
4.000000000000000000e+00,-2.156837371115890356e+00,1.403021890984488818e-01,-1.049812243135761075e-01,-1.338702031200825204e-01,-2.255386609451099922e+00
4.500000000000000000e+00,-1.404175720698086272e+00,2.174088017649641533e-02,-3.870759331979319040e-02,-5.789818587984687376e-02,-1.479040619721229799e+00
5.000000000000000000e+00,-9.741559000916406585e-01,3.319090846533014495e-03,-1.725896978476730570e-02,-2.805986380846487230e-02,-1.016155642838339812e+00
5.500000000000000000e+00,-7.055368253574088033e-01,4.485372768509366444e-04,-8.664875103379789806e-03,-1.484588043699872073e-02,-7.285990436209364152e-01
6.000000000000000000e+00,-5.277330587173199028e-01,3.041147529224246389e-05,-4.716401363049454488e-03,-8.394957642327640496e-03,-5.408140062474048326e-01
6.500000000000000000e+00,-4.051641422289717354e-01,-8.061383873336046624e-06,-2.729608186454061947e-03,-5.003894548255117571e-03,-4.129057063475542466e-01
7.000000000000000000e+00,-3.179541436503739438e-01,-4.218149181662047625e-06,-1.659743993415258457e-03,-3.116182192564688914e-03,-3.227342879855356061e-01
7.500000000000000000e+00,-2.542166216242142118e-01,-1.070939620541299718e-06,-1.051279355507298311e-03,-2.013826477194358925e-03,-2.572827983965363940e-01
8.000000000000000000e+00,-2.065379923641209869e-01,-1.535352132465854885e-07,-6.890759915531372709e-04,-1.342914569208309783e-03,-2.085701364600956731e-01
8.500000000000000000e+00,-1.701437064942911415e-01,-2.563791498816854988e-09,-4.649916088720625713e-04,-9.198136196709960589e-04,-1.715285142866257440e-01
