Distance,Electrostatics,Exchange,Induction,Dispersion,SAPT Total
2.500000000000000000e+00,-4.032295702202221221e+00,8.802845327278697729e-01,-4.608892369556625290e-01,-3.837250030448529636e-01,-3.996625409474868107e+00
3.000000000000000000e+00,-2.364226962676612143e+00,1.370463172485089920e-01,-1.396874307315072727e-01,-1.450797902189515376e-01,-2.511947866378561933e+00
3.500000000000000000e+00,-1.531052626533994099e+00,2.052158828566147397e-02,-5.387431014996985068e-02,-6.194663055630559440e-02,-1.626351978954607924e+00
4.000000000000000000e+00,-1.052408308619241062e+00,2.944792598695774710e-03,-2.480645280839758465e-02,-2.980210934531281677e-02,-1.104072078174255678e+00
4.500000000000000000e+00,-7.540075888589991004e-01,3.485653878002054756e-04,-1.273323739035018415e-02,-1.574272402358707287e-02,-7.821349848851361086e-01
5.000000000000000000e+00,-5.577679896060592224e-01,1.022629554188904033e-05,-7.039039684262982620e-03,-8.914144685659404835e-03,-5.737109476804397312e-01
5.500000000000000000e+00,-4.236470186451995468e-01,-1.081067430229986221e-05,-4.119383602049928039e-03,-5.326010564841984762e-03,-4.331032234863937957e-01
6.000000000000000000e+00,-3.290962386813859886e-01,-4.457935330854065188e-06,-2.525094781836832551e-03,-3.324894937847971271e-03,-3.349506863364016818e-01
6.500000000000000000e+00,-2.606342074137540377e-01,-1.113594406012485957e-06,-1.608745005716146707e-03,-2.153444715645310391e-03,-2.643975107295215010e-01
7.000000000000000000e+00,-2.098856397914768690e-01,-1.754324200044147824e-07,-1.058925853074225900e-03,-1.438789512640507515e-03,-2.123835305896115966e-01
7.500000000000000000e+00,-1.714861815343499685e-01,-1.000705214728542397e-08,-7.167664499737055146e-04,-9.871531762833595999e-04,-1.731901111676591720e-01
8.000000000000000000e+00,-1.419022218926097867e-01,2.870125206673755235e-09,-4.970779091137130868e-04,-6.930270317111745159e-04,-1.430923239633094535e-01
8.500000000000000000e+00,-1.187450180122805177e-01,9.640975723820174733e-10,-3.521545541338484838e-04,-4.964603192339232590e-04,-1.195936319215507165e-01
