
Host: G5

Timers On : Mon Jun  3 21:13:00 2024
Timers Off: Mon Jun  3 21:13:20 2024

Wall Time:       19.94 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.058w     20 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.053w     60 calls
DFH: initialize()                   :      0.000u      0.000s      0.756w     20 calls
DFH: AO Construction                :      0.000u      0.000s      0.083w     20 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.012w     20 calls
HF: Form core H                     :      0.000u      0.000s      0.068w     20 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     20 calls
HF: Guess                           :      0.000u      0.000s      0.782w     20 calls
SAD Guess                           :      0.000u      0.000s      0.762w     20 calls
HF: Form G                          :      0.000u      0.000s      0.033w    148 calls
JK: D                               :      0.000u      0.000s      0.001w    148 calls
JK: USO2AO                          :      0.000u      0.000s      0.003w    148 calls
JK: JK                              :      0.000u      0.000s      0.025w    148 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.024w    148 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    148 calls
DFH: compute_J                      :      0.000u      0.000s      0.006w    148 calls
DFH: compute_K                      :      0.000u      0.000s      0.015w    148 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    148 calls
HF: Form F                          :      0.000u      0.000s      0.001w    148 calls
HF: Form D                          :      0.000u      0.000s      0.001w    148 calls
HF: DIIS                            :      0.000u      0.000s      0.590w    128 calls
HF: Form C                          :      0.000u      0.000s      0.061w    128 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.058w     20 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.034w     20 calls
DFH: initialize()                   :      0.000u      0.000s      0.756w     20 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.020w     40 calls
| DFH: AO Construction              :      0.000u      0.000s      0.083w     20 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.012w     20 calls
HF: Form core H                     :      0.000u      0.000s      0.068w     20 calls
HF: Form S/X                        :      0.000u      0.000s      0.004w     20 calls
HF: Guess                           :      0.000u      0.000s      0.782w     20 calls
| SAD Guess                         :      0.000u      0.000s      0.762w     20 calls
HF: Form G                          :      0.000u      0.000s      0.033w    148 calls
| JK: D                             :      0.000u      0.000s      0.001w    148 calls
| JK: USO2AO                        :      0.000u      0.000s      0.003w    148 calls
| JK: JK                            :      0.000u      0.000s      0.025w    148 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.024w    148 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    148 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.006w    148 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.015w    148 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    148 calls
HF: Form F                          :      0.000u      0.000s      0.001w    148 calls
HF: Form D                          :      0.000u      0.000s      0.001w    148 calls
HF: DIIS                            :      0.000u      0.000s      0.590w    128 calls
HF: Form C                          :      0.000u      0.000s      0.061w    128 calls

**************************************************************************************

Host: G5

Timers On : Mon Jun  3 21:13:22 2024
Timers Off: Mon Jun  3 21:13:33 2024

Wall Time:       10.97 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.028w     15 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.025w     45 calls
DFH: initialize()                   :      0.000u      0.000s      0.601w     15 calls
DFH: AO Construction                :      0.000u      0.000s      0.059w     15 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.007w     15 calls
HF: Form core H                     :      0.000u      0.000s      0.074w     15 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w     15 calls
HF: Guess                           :      0.000u      0.000s      0.526w     15 calls
SAD Guess                           :      0.000u      0.000s      0.512w     15 calls
HF: Form G                          :      0.000u      0.000s      0.058w    275 calls
JK: D                               :      0.000u      0.000s      0.002w    275 calls
JK: USO2AO                          :      0.000u      0.000s      0.005w    275 calls
JK: JK                              :      0.000u      0.000s      0.046w    275 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.045w    275 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    275 calls
DFH: compute_J                      :      0.000u      0.000s      0.012w    275 calls
DFH: compute_K                      :      0.000u      0.000s      0.027w    275 calls
JK: AO2USO                          :      0.000u      0.000s      0.002w    275 calls
HF: Form F                          :      0.000u      0.000s      0.002w    275 calls
HF: Form D                          :      0.000u      0.000s      0.002w    275 calls
HF: DIIS                            :      0.000u      0.000s      1.467w    260 calls
HF: Form C                          :      0.000u      0.000s      0.123w    260 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.028w     15 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.011w     15 calls
DFH: initialize()                   :      0.000u      0.000s      0.601w     15 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.014w     30 calls
| DFH: AO Construction              :      0.000u      0.000s      0.059w     15 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.007w     15 calls
HF: Form core H                     :      0.000u      0.000s      0.074w     15 calls
HF: Form S/X                        :      0.000u      0.000s      0.002w     15 calls
HF: Guess                           :      0.000u      0.000s      0.526w     15 calls
| SAD Guess                         :      0.000u      0.000s      0.512w     15 calls
HF: Form G                          :      0.000u      0.000s      0.058w    275 calls
| JK: D                             :      0.000u      0.000s      0.002w    275 calls
| JK: USO2AO                        :      0.000u      0.000s      0.005w    275 calls
| JK: JK                            :      0.000u      0.000s      0.046w    275 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.045w    275 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    275 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.012w    275 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.027w    275 calls
| JK: AO2USO                        :      0.000u      0.000s      0.002w    275 calls
HF: Form F                          :      0.000u      0.000s      0.002w    275 calls
HF: Form D                          :      0.000u      0.000s      0.002w    275 calls
HF: DIIS                            :      0.000u      0.000s      1.467w    260 calls
HF: Form C                          :      0.000u      0.000s      0.123w    260 calls

**************************************************************************************

Host: G5

Timers On : Mon Jun  3 21:13:35 2024
Timers Off: Mon Jun  3 21:14:02 2024

Wall Time:       26.40 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.041w     20 calls
