Distance,Electrostatics,Exchange,Induction,Dispersion,SAPT Total
1.000000000000000000e+00,-6.756435682002320675e+01,1.903961313517729081e+02,-5.861831475795254676e+01,-1.692611911173263195e+01,4.728734066206452269e+01
1.100000000000000089e+00,-5.635961017126064831e+01,1.377785481659068125e+02,-4.207284880854442122e+01,-1.301585183590889017e+01,2.633023735019285994e+01
1.200000000000000178e+00,-4.577241417782325072e+01,9.902441093077990786e+01,-3.005890645404079109e+01,-1.009056956476222844e+01,1.310252073415364293e+01
1.300000000000000266e+00,-3.674971854152740747e+01,7.079246637073774195e+01,-2.145020527474936856e+01,-7.878479933401628443e+00,4.714062621059335711e+00
1.400000000000000355e+00,-2.944034611633980703e+01,5.040855621985772927e+01,-1.533049297315885973e+01,-6.190567109854139716e+00,-5.528499794950796353e-01
1.500000000000000444e+00,-2.367660202540378833e+01,3.579609889300073888e+01,-1.099858360584561190e+01,-4.893961167008860969e+00,-3.773047905257526757e+00
1.600000000000000533e+00,-1.919579450273212373e+01,2.537598326533248283e+01,-7.935303490979312535e+00,-3.893079882420809490e+00,-5.648194610799765591e+00
1.700000000000000622e+00,-1.573373206953201908e+01,1.797011608177555431e+01,-5.765566930867968232e+00,-3.117640053575453152e+00,-6.646822972199887047e+00
1.800000000000000711e+00,-1.305784143801879438e+01,1.271579600047730096e+01,-4.223350023241931872e+00,-2.514805102448915086e+00,-7.080200563232340372e+00
1.900000000000000799e+00,-1.097591688424788359e+01,8.991068085194987347e+00,-3.121852025977552181e+00,-2.044078264074483009e+00,-7.150779089104931430e+00
2.000000000000000888e+00,-9.336693211763742895e+00,6.352178656196088902e+00,-2.330330494321525947e+00,-1.674165585173339910e+00,-6.989010635062520294e+00
2.100000000000000977e+00,-8.026701992658145102e+00,4.484035167893575036e+00,-1.757361576267934211e+00,-1.381028749835849112e+00,-6.681057150868353389e+00
2.200000000000001066e+00,-6.964188426856227743e+00,3.162979940637434151e+00,-1.339054366283748854e+00,-1.146477341743661782e+00,-6.286740194246203117e+00
2.300000000000001155e+00,-6.091384516993687548e+00,2.229964494031468902e+00,-1.030784666564687813e+00,-9.569623999074438059e-01,-5.849167089434351041e+00
2.400000000000001243e+00,-5.367092949503072141e+00,1.571725630276547214e+00,-8.013803929512506308e-01,-8.024902336312298434e-01,-5.399237945809005623e+00
