Distance,Electrostatics,Exchange,Induction,Dispersion,SAPT Total
1.000000000000000000e+00,-3.590099087704866179e+02,2.186747454526889214e+03,-1.439452063216324973e+02,-1.336983933766456403e+02,1.550093946058124629e+03
1.100000000000000089e+00,-1.301096706548570410e+02,2.279800977234177481e+03,-2.320568155443336877e+02,-1.339769431463342073e+02,1.783657547888652743e+03
1.200000000000000178e+00,1.605771930191139063e+02,2.277005776073779543e+03,-2.629061616577092195e+02,-1.285813450658102681e+02,2.046095462369373990e+03
1.300000000000000266e+00,2.876779748214988217e+02,2.380555704899107241e+03,-2.731907416538392681e+02,-1.293248111764680175e+02,2.265718126890298663e+03
1.400000000000000355e+00,1.148162096951891868e+02,2.628176089187788421e+03,-3.667771100970941802e+02,-1.407447547533023169e+02,2.235470434032581124e+03
1.500000000000000444e+00,-1.800107970930054933e+02,2.709296698225233285e+03,-3.401602428752771630e+02,-1.506618454119121111e+02,2.038463812845038319e+03
1.600000000000000533e+00,-4.557428028012158734e+02,2.612776083996243869e+03,-2.318096244386069884e+02,-1.562348387314995932e+02,1.768988818024921557e+03
1.700000000000000622e+00,-6.859095071121020055e+02,2.505230688141957216e+03,-1.567840874766800141e+02,-1.610294536646738095e+02,1.501507639888501672e+03
1.800000000000000711e+00,-8.805442918169361519e+02,2.487126509692382569e+03,-1.717322875045772719e+02,-1.673923216632313711e+02,1.267457608707637974e+03
1.900000000000000799e+00,-1.043656826966816197e+03,2.576988938813740333e+03,-1.956059191501365717e+02,-1.767976686876124290e+02,1.160928524009175362e+03
2.000000000000000888e+00,-1.153984881192894363e+03,2.754932605317017533e+03,-1.852265842236577384e+02,-1.913495164461410241e+02,1.224371623454324435e+03
2.100000000000000977e+00,-1.156277058593275797e+03,3.012723266199251611e+03,-1.459977886398702083e+02,-2.138293297078242574e+02,1.496619089258281065e+03
2.200000000000001066e+00,-9.731517355323768470e+02,3.356306909166183232e+03,-1.444138170606134111e+02,-2.461212522790371509e+02,1.992620104294155453e+03
2.300000000000001155e+00,-5.672392510313835601e+02,3.736372894961110887e+03,-1.996937760129738137e+02,-2.859338664531259724e+02,2.683506001463627854e+03
2.400000000000001243e+00,-5.860541971523503690e+01,4.020592712025816127e+03,-2.484521052178463094e+02,-3.224871969999442172e+02,3.391047990092790315e+03
