Distance,Electrostatics,Exchange,Induction,Dispersion,SAPT Total
1.000000000000000000e+00,-6.661078126694819446e+01,1.889387460247265551e+02,-5.864159825286770200e+01,-1.687910642171908648e+01,4.680726008319157927e+01
1.100000000000000089e+00,-5.562295265023116997e+01,1.366775001041480948e+02,-4.209563517812017608e+01,-1.298316479904779897e+01,2.597574747674895335e+01
1.200000000000000178e+00,-4.520041848573669085e+01,9.820202257765959075e+01,-3.008464292263838757e+01,-1.006954321533853758e+01,1.284741795394597297e+01
1.300000000000000266e+00,-3.629989747152425394e+01,7.018495512060306396e+01,-2.147847351059318299e+01,-7.866424088505374890e+00,4.540160049980249468e+00
1.400000000000000355e+00,-2.907944646383706200e+01,4.996450269437616498e+01,-1.535949219985043790e+01,-6.185068631793774863e+00,-6.595046011051142187e-01
1.500000000000000444e+00,-2.337929154548773525e+01,3.547468846757859495e+01,-1.102654435771351871e+01,-4.893022246887250404e+00,-3.824169682509912072e+00
1.600000000000000533e+00,-1.894307421656458246e+01,2.514541470327487005e+01,-7.961057158834075054e+00,-3.895165198407786189e+00,-5.653881870531575871e+00
1.700000000000000622e+00,-1.551140907227452637e+01,1.780608662657723684e+01,-5.788594728407590040e+00,-3.121647006425046111e+00,-6.615564180529924343e+00
1.800000000000000711e+00,-1.285530530676911809e+01,1.260004243678078595e+01,-4.243587875464775117e+00,-2.519978017522348956e+00,-7.018828762975456215e+00
1.900000000000000799e+00,-1.078531085589648697e+01,8.910044666586371065e+00,-3.139462015920002624e+00,-2.049904347763066514e+00,-7.064632552993184156e+00
2.000000000000000888e+00,-9.152377260299573436e+00,6.295938766250149143e+00,-2.345551739457175877e+00,-1.680289301894763332e+00,-6.882279535401363724e+00
2.100000000000000977e+00,-7.844827832281477953e+00,4.445332671169522243e+00,-1.770436252564369983e+00,-1.387198519816416731e+00,-6.557129933492742424e+00
2.200000000000001066e+00,-6.782286390998265801e+00,3.136573879500064166e+00,-1.350212169017099839e+00,-1.152516734223008266e+00,-6.148441414738309518e+00
2.300000000000001155e+00,-5.907969497636759826e+00,2.212094938464740590e+00,-1.040239607008949685e+00,-9.627525690084181020e-01,-5.698866735189387356e+00
2.400000000000001243e+00,-5.181333136909555215e+00,1.559722459466979849e+00,-8.093330052199492197e-01,-8.079558640774386902e-01,-5.238899546739962609e+00
