Distance,Electrostatics,Exchange,Induction,Dispersion,SAPT Total
1.000000000000000000e+00,1.662473959944065882e+00,1.129259588257662017e+01,-1.345601596265694866e+00,-5.705571874900444707e-01,1.103891105876494727e+01
1.100000000000000089e+00,-2.375566016271477565e-01,9.794215227999529816e+00,-1.341804360833436682e+00,-4.685895407315324723e-01,7.746264724807414126e+00
1.200000000000000178e+00,-8.307044737437081494e-01,8.510333753223832787e+00,-1.415499049994054070e+00,-3.902635272793584242e-01,5.873866702206711921e+00
1.300000000000000266e+00,-7.224746645802042622e-01,7.233313332870345391e+00,-1.339573014546964647e+00,-3.272132407064795023e-01,4.844052413036697757e+00
1.400000000000000355e+00,-5.305289152346404080e-01,5.935313076185011028e+00,-1.133982515067330832e+00,-2.792322214148443837e-01,3.991569424468195848e+00
1.500000000000000444e+00,-5.224671130011699915e-01,4.835222561638403249e+00,-8.212104819304075765e-01,-2.480567320979158719e-01,3.243488234608910226e+00
1.600000000000000533e+00,-6.672299261140040016e-01,4.052764816557810512e+00,-5.111544389764893781e-01,-2.313580751594167262e-01,2.643022376307900601e+00
1.700000000000000622e+00,-8.727023210197160097e-01,3.596790076973063854e+00,-3.055726829401369526e-01,-2.255867427228364364e-01,2.192928330290374372e+00
1.800000000000000711e+00,-1.088717211738583046e+00,3.426531038623115144e+00,-3.065013086407520349e-01,-2.273241577115246437e-01,1.803988360532255530e+00
1.900000000000000799e+00,-1.294299064867772131e+00,3.477381092568626819e+00,-3.931109545841229291e-01,-2.343490909682615086e-01,1.555621982148470250e+00
2.000000000000000888e+00,-1.469116966518242862e+00,3.671594349706229110e+00,-4.619723835068363371e-01,-2.463879330691742253e-01,1.494117066611975631e+00
2.100000000000000977e+00,-1.579983730756737259e+00,3.938635475502568539e+00,-4.772176043104290333e-01,-2.644982992707187730e-01,1.616935841164683474e+00
2.200000000000001066e+00,-1.586413946360778482e+00,4.228938248083704110e+00,-4.512527222169603336e-01,-2.889505679090224044e-01,1.902321011596943112e+00
2.300000000000001155e+00,-1.467624814542887179e+00,4.485167447962702170e+00,-4.058022150703876063e-01,-3.167061112108823240e-01,2.295034307138545060e+00
2.400000000000001243e+00,-1.262465946481086121e+00,4.616756947720254800e+00,-3.250200703889660758e-01,-3.404822923529327583e-01,2.688788638497269901e+00
