Distance,Electrostatics,Exchange,Induction,Dispersion,SAPT Total
1.399999999999999911e+00,-1.028459395064039654e+02,2.376903180489219096e+02,-2.089941486371338186e+01,-2.122344804464888313e+01,9.272151563415567921e+01
1.500000000000000000e+00,-7.042453018966099876e+01,1.589530866082394311e+02,-1.392656307611600575e+01,-1.605711111161357252e+01,5.854488223084887011e+01
1.600000000000000089e+00,-4.861036721187660703e+01,1.060582177404595825e+02,-9.651339222290785003e+00,-1.230152087741852540e+01,3.549499042887366329e+01
1.700000000000000178e+00,-3.401807891027979025e+01,7.084246468807955921e+01,-6.881498886479314514e+00,-9.556773888879938283e+00,2.038611300244051350e+01
1.800000000000000266e+00,-2.425046077585860260e+01,4.750261012097072921e+01,-5.008565632954203650e+00,-7.528363125801878830e+00,1.071522058635604502e+01
1.900000000000000355e+00,-1.767512992615708001e+01,3.204849892471791861e+01,-3.702345447935791345e+00,-6.008675218671701401e+00,4.662348331953347191e+00
2.000000000000000444e+00,-1.320495356874149273e+01,2.179747893291555982e+01,-2.772297022209790907e+00,-4.854126428101903201e+00,9.661019138623736513e-01
2.100000000000000533e+00,-1.012381035268203355e+01,1.497004062913448053e+01,-2.100939628963293337e+00,-3.965350921873129764e+00,-1.220060274383976573e+00
2.200000000000000622e+00,-7.962520427439044646e+00,1.039447553132410818e+01,-1.611358664460051271e+00,-3.272725543127728454e+00,-2.452129103702715529e+00
2.300000000000000711e+00,-6.414751377083969253e+00,7.302479141913178040e+00,-1.251052392907528565e+00,-2.726675896240583263e+00,-3.090000524318902819e+00
2.400000000000000799e+00,-5.280869788292132050e+00,5.191474426959669763e+00,-9.833165870252236207e-01,-2.291374986324434371e+00,-3.364086934682119612e+00
