Distance,Electrostatics,Exchange,Induction,Dispersion,SAPT Total
1.000000000000000000e+00,-1.237903154922562692e+02,3.616956971044718898e+02,-5.092061938631888296e+01,-2.559340905691977852e+01,1.613913531689769627e+02
1.100000000000000089e+00,-9.032118490470210759e+01,2.536331730470268440e+02,-3.552695220706249302e+01,-1.923481933353108175e+01,1.085502166017311794e+02
1.200000000000000178e+00,-6.498005054578062811e+01,1.760034760526660023e+02,-2.491842536312463352e+01,-1.451835034399221946e+01,7.158664979976852294e+01
1.300000000000000266e+00,-4.652554737679558627e+01,1.212159012009197880e+02,-1.759144709482296420e+01,-1.104330574663282150e+01,4.605560098266843028e+01
1.400000000000000355e+00,-3.339584003458066519e+01,8.304194464698034039e+01,-1.250633051041869770e+01,-8.485176068577866104e+00,2.865459803340310430e+01
1.500000000000000444e+00,-2.418453306606062014e+01,5.668509254504216699e+01,-8.957956303096793249e+00,-6.595055825736982236e+00,1.694754735014776870e+01
1.600000000000000533e+00,-1.778018232156109235e+01,3.860309561369621179e+01,-6.468665056933982527e+00,-5.188485603492314802e+00,9.165762631708822994e+00
1.700000000000000622e+00,-1.336088819488937496e+01,2.625412992492385200e+01,-4.714174638139958518e+00,-4.131979609216681837e+00,4.047087482677837578e+00
1.800000000000000711e+00,-1.034080810760407232e+01,1.784947844956347396e+01,-3.473713577249769369e+00,-3.330412936727852102e+00,7.045438279817802796e-01
1.900000000000000799e+00,-8.312576439628134750e+00,1.214604369350046298e+01,-2.596172964000896588e+00,-2.716549842395714620e+00,-1.479255552524284090e+00
2.000000000000000888e+00,-7.001163335814546862e+00,8.286657036270248966e+00,-1.977610554999701398e+00,-2.243000472966603986e+00,-2.935117327510603946e+00
2.100000000000000977e+00,-6.228756975558005671e+00,5.683218413229945476e+00,-1.546693508413232276e+00,-1.876248989807591361e+00,-3.968481060548883832e+00
2.200000000000001066e+00,-5.872261195897361397e+00,3.931471677303277179e+00,-1.253684659501931753e+00,-1.591340185152558595e+00,-4.785814363248574566e+00
2.300000000000001155e+00,-5.749256016790227797e+00,2.740782168232211546e+00,-1.052224813096835909e+00,-1.363205826044829649e+00,-5.423904487699680921e+00
2.400000000000001243e+00,-5.421354124617977277e+00,1.882574434162421317e+00,-8.700148431757936951e-01,-1.157586065593047664e+00,-5.566380599224397763e+00
